issuer,card_name,segment,joining_fee_inr,annual_fee_inr,fee_waiver_condition,best_for,reward_structure_summary,lounge_access,forex_markup_pct,notes_source,variant_id,card_code,synthetic_flag
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,400.0,400.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_082,SBI_SimplySAVE_082,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,400.0,400.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Bonus points on utility bills",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_083,SBI_SimplySAVE_083,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Enhanced cashback weekends",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_084,SBI_SimplySAVE_084,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,400.0,400.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Bonus on grocery spends",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_085,SBI_SimplySAVE_085,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,400.0,400.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Bonus points on utility bills",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_086,SBI_SimplySAVE_086,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Bonus points on utility bills",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_087,SBI_SimplySAVE_087,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Bonus points on utility bills",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_088,SBI_SimplySAVE_088,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Bonus points on utility bills",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_089,SBI_SimplySAVE_089,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,400.0,400.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Bonus points on utility bills",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_090,SBI_SimplySAVE_090,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,400.0,400.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_091,SBI_SimplySAVE_091,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,500.0,500.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_092,SBI_SimplySAVE_092,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Extra miles on travel portals",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_093,SBI_SimplySAVE_093,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Enhanced cashback weekends",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_094,SBI_SimplySAVE_094,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,400.0,400.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Bonus points on utility bills",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_095,SBI_SimplySAVE_095,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,400.0,400.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Enhanced cashback weekends",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_096,SBI_SimplySAVE_096,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,400.0,400.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_097,SBI_SimplySAVE_097,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,700.0,700.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Enhanced cashback weekends",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_098,SBI_SimplySAVE_098,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Extra miles on travel portals",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_099,SBI_SimplySAVE_099,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_100,SBI_SimplySAVE_100,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,400.0,400.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Bonus on grocery spends",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_101,SBI_SimplySAVE_101,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Bonus points on utility bills",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_102,SBI_SimplySAVE_102,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,400.0,400.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Bonus on grocery spends",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_103,SBI_SimplySAVE_103,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,400.0,400.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_104,SBI_SimplySAVE_104,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,700.0,700.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Extra miles on travel portals",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_105,SBI_SimplySAVE_105,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Extra miles on travel portals",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_106,SBI_SimplySAVE_106,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Bonus points on utility bills",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_107,SBI_SimplySAVE_107,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,400.0,400.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Extra miles on travel portals",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_108,SBI_SimplySAVE_108,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,700.0,700.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Extra miles on travel portals",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_109,SBI_SimplySAVE_109,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Bonus on grocery spends",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_110,SBI_SimplySAVE_110,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Bonus on grocery spends",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_111,SBI_SimplySAVE_111,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,700.0,700.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Enhanced cashback weekends",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_112,SBI_SimplySAVE_112,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,400.0,400.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Extra miles on travel portals",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_113,SBI_SimplySAVE_113,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,500.0,500.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Extra miles on travel portals",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_114,SBI_SimplySAVE_114,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,500.0,500.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_115,SBI_SimplySAVE_115,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,400.0,400.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_116,SBI_SimplySAVE_116,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,400.0,400.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_117,SBI_SimplySAVE_117,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,500.0,500.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Bonus on grocery spends",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_118,SBI_SimplySAVE_118,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Extra miles on travel portals",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_119,SBI_SimplySAVE_119,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,500.0,500.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Enhanced cashback weekends",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_120,SBI_SimplySAVE_120,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,500.0,500.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Bonus points on utility bills",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_121,SBI_SimplySAVE_121,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Bonus on grocery spends",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_122,SBI_SimplySAVE_122,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,500.0,500.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Bonus points on utility bills",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_123,SBI_SimplySAVE_123,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,500.0,500.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_124,SBI_SimplySAVE_124,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,500.0,500.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_125,SBI_SimplySAVE_125,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,500.0,500.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Bonus on grocery spends",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_126,SBI_SimplySAVE_126,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,500.0,500.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Extra miles on travel portals",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_127,SBI_SimplySAVE_127,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Enhanced cashback weekends",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_128,SBI_SimplySAVE_128,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Enhanced cashback weekends",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_129,SBI_SimplySAVE_129,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Bonus on grocery spends",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_130,SBI_SimplySAVE_130,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,500.0,500.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_131,SBI_SimplySAVE_131,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Extra miles on travel portals",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_132,SBI_SimplySAVE_132,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,500.0,500.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Bonus points on utility bills",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_133,SBI_SimplySAVE_133,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Extra miles on travel portals",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_134,SBI_SimplySAVE_134,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,700.0,700.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_135,SBI_SimplySAVE_135,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,500.0,500.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Bonus points on utility bills",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_136,SBI_SimplySAVE_136,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,500.0,500.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Bonus on grocery spends",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_137,SBI_SimplySAVE_137,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,500.0,500.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Enhanced cashback weekends",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_138,SBI_SimplySAVE_138,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Bonus on grocery spends",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_139,SBI_SimplySAVE_139,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,400.0,400.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Extra miles on travel portals",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_140,SBI_SimplySAVE_140,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,400.0,400.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Bonus points on utility bills",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_141,SBI_SimplySAVE_141,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,400.0,400.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Bonus points on utility bills",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_142,SBI_SimplySAVE_142,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,400.0,400.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Extra miles on travel portals",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_143,SBI_SimplySAVE_143,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,400.0,400.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Bonus on grocery spends",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_144,SBI_SimplySAVE_144,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,500.0,500.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_145,SBI_SimplySAVE_145,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,400.0,400.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Enhanced cashback weekends",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_146,SBI_SimplySAVE_146,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Enhanced cashback weekends",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_147,SBI_SimplySAVE_147,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,500.0,500.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Bonus points on utility bills",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_148,SBI_SimplySAVE_148,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,400.0,400.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Bonus on grocery spends",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_149,SBI_SimplySAVE_149,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,400.0,400.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Enhanced cashback weekends",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_150,SBI_SimplySAVE_150,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,500.0,500.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Extra miles on travel portals",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_151,SBI_SimplySAVE_151,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,700.0,700.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Bonus points on utility bills",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_152,SBI_SimplySAVE_152,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Extra miles on travel portals",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_153,SBI_SimplySAVE_153,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Bonus on grocery spends",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_154,SBI_SimplySAVE_154,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Enhanced cashback weekends",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_155,SBI_SimplySAVE_155,True
SBI Card,SimplySAVE SBI Card,Entry / Daily spends,600.0,600.0,"Annual fee waived on ₹1,00,000+ spend in previous year","Dining, movies, groceries, departmental stores","10 RP per ₹150 on dining, movies, groceries & departmental stores; 1 RP per ₹150 on other spends | Bonus on grocery spends",No complimentary lounge access mentioned,,SBI Card site + Finology card summary,VAR_156,SBI_SimplySAVE_156,True
